Ranking,User,Model,Results,Mean Reward,Std Reward
103,MattStammers,MattStammers/ppo-Bipedal_Walker_v3-HardcoreTrained-take2,-37.51,13.49,51.0
104,MattStammers,MattStammers/td3-Bipedal_Walker_v3-HardcoreTrained,-41.489999999999995,50.22,91.71
105,ycchen233,ycchen233/ppo-test1,-57.879999999999995,-49.29,8.59
106,qgallouedec,qgallouedec/ars-BipedalWalker-v3-3141876264,-59.31,-41.95,17.36
107,MattStammers,MattStammers/ppo-Bipedal_Walker_v3-HardcoreTrained,-70.06,-14.3,55.76
108,coyotespike,coyotespike/lunarlanderV2,-71.79,-22.95,48.84
109,MattStammers,MattStammers/Bipedal_Faller_v3,-89.82,-86.71,3.11
110,MattStammers,MattStammers/SAC-Bipedal_Walker_v3-HardcoreTrained,-91.52,-31.49,60.03
111,koopatroopa787,koopatroopa787/ppo-BipedalWalker-v3,-92.61,-74.7,17.91
112,Ahmerraza12,Ahmerraza12/ppo-BipedalWalker,-92.88000000000001,-81.4,11.48
113,Mahanthesh0r,Mahanthesh0r/BipedalWalker-RL,-97.78,-58.54,39.24
114,pableitorr,pableitorr/ppo-BipedalWalker-v3,-101.82,-30.43,71.39
115,Aswath24,Aswath24/ppo-BipedalWalker-test,-102.32000000000001,-96.18,6.14
116,MattStammers,MattStammers/Bipedal_Walker_v3_Hardcore_Flat_Optimised,-104.74000000000001,-85.95,18.79
117,YoungMeng,YoungMeng/ppo-BipedalWalker-test,-104.86,-88.41,16.45
118,YoungMeng,YoungMeng/ppo-BipedalWalker,-109.47,-82.48,26.99
119,realdanghuy,realdanghuy/ppo-BipedalWalker-test,-122.06,-86.97,35.09
120,qgallouedec,qgallouedec/ddpg-BipedalWalker-v3-1727241535,-124.22,-119.12,5.1
121,reidmharris,reidmharris/ppo-BipedalWalker-v3,-125.23,-123.79,1.44
122,MadFritz,MadFritz/ars-BipedalWalkerHardcore-v3,-133.32,-97.25,36.07
123,CoderMan-O,CoderMan-O/ppo-BipedalWalker-v3,-144.74,-58.54,86.2
124,kitsonr,kitsonr/ddpg-BipedalWalker-v3,-160.69,-147.05,13.64
